target,text,stance,word_count,sentence_count,avg_word_length,std_word_length,type_token_ratio,hapax_legomena,stopword_ratio,punctuation_density,noun_ratio,verb_ratio,adj_ratio,adv_ratio,pronoun_ratio,avg_dependency_depth,function_word_ratio,punctuation_usage,readability_score,sentence_length_variation,subordinate_clause_ratio,sentiment_polarity,sentiment_subjectivity,anger,joy,fear,sadness,disgust,surprise,certainty_adverbs_count,certainty_verbs_count,certainty_adjectives_count,doubt_adverbs_count,doubt_verbs_count,doubt_adjectives_count,hedges_score,hedge_C_count,hedge_D_count,hedge_E_count,hedge_I_count,hedge_N_count,C_ratio,D_ratio,E_ratio,I_ratio,N_ratio
Donald Trump,Maybe use should babysit for all of the single parents scrambling for child care because they still work! #Clueless #Trump must go!!!,0,28.0,3.0,4.0,2.3754698783308417,0.8214285714285714,0.7142857142857143,0.2857142857142857,0.21428571428571427,0.21428571428571427,0.14285714285714285,0.03571428571428571,0.07142857142857142,0.03571428571428571,1.0,0.39285714285714285,0.14285714285714285,2.9,7.408703590297622,0.10714285714285714,-0.1743861607142857,0.21428571428571427,0.009584646672010422,0.1352243274450302,0.7969348430633545,0.01672932878136635,0.0021403846330940723,0.0028831015806645155,2.0,1.0,0.0,2.0,0.0,0.0,0.9531973004341125,21.0,0.0,1.0,0.0,0.0,0.9545454545454546,0.0,0.045454545454545456,0.0,0.0
Donald Trump,"If I were Jared Kushner Id resign. Not only for the distraction hes causing, but also for the fact that he shouldnt be there at all. He lied during his background check. Scott Dworkin #AMJoy on MSNBC #FireKushner #MuellerIsComingForYou #LockThemAllUp #Trump",0,50.0,4.0,4.34,3.6965389217482887,0.84,0.76,0.4,0.18,0.32,0.12,0.0,0.08,0.08,1.0,0.4528301886792453,0.06,6.1,5.165994579942956,0.04,0.0,1.0,0.1413833349943161,0.0024692867882549763,0.8416547775268555,0.009105149656534195,0.00043551099952310324,0.003251993330195546,1.0,1.0,0.0,0.0,0.0,0.0,0.963831901550293,40.0,0.0,0.0,0.0,1.0,0.975609756097561,0.0,0.0,0.0,0.024390243902439025
Donald Trump,@realDonaldTrump the good news is. Your hair and skin tone will look lovely in orange. #LockThemUp #MuellersComingForYou,0,22.0,3.0,4.7272727272727275,4.59428318854301,0.9090909090909091,0.8181818181818182,0.2727272727272727,0.22727272727272727,0.3181818181818182,0.13636363636363635,0.09090909090909091,0.045454545454545456,0.045454545454545456,1.0,0.2857142857142857,0.09090909090909091,6.6,3.299831645537222,0.0,0.6,0.675,0.03818236663937569,0.08442370593547821,0.859136700630188,0.008309327997267246,0.0005694172577932477,0.004601733293384314,1.0,0.0,2.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Donald Trump,So what would happen to @IvankaTrump voting machines she is mfg in China to be brought to America? If all states agree that mail in ballots is the way to go? Typical #Trump Dont want to lose billions!,0,43.0,3.0,3.7906976744186047,2.328370420610945,0.8372093023255814,0.7441860465116279,0.3953488372093023,0.11627906976744186,0.2558139534883721,0.2558139534883721,0.046511627906976744,0.0,0.023255813953488372,1.0,0.46511627906976744,0.06976744186046512,4.7,4.4969125210773475,0.16279069767441862,-0.20833333333333331,0.5,0.11747407168149948,0.009518050588667393,0.6912811994552612,0.021910296753048897,0.0011788387782871723,0.1086355522274971,0.0,3.0,0.0,2.0,0.0,0.0,0.967617928981781,36.0,0.0,0.0,0.0,2.0,0.9473684210526315,0.0,0.0,0.0,0.05263157894736842
Donald Trump,She is my new hero! Yes! @NewYorkStateAG She is going ti get #Trump,0,17.0,3.0,3.235294117647059,2.961108929094875,0.8235294117647058,0.6470588235294118,0.29411764705882354,0.23529411764705882,0.17647058823529413,0.23529411764705882,0.17647058823529413,0.0,0.17647058823529413,1.0,0.375,0.11764705882352941,1.1,2.494438257849294,0.058823529411764705,0.2130681818181818,0.45454545454545453,0.05636321008205414,0.06771714240312576,0.7819792628288269,0.020314907655119896,0.0008527269237674773,0.042849987745285034,1.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Donald Trump,"Oh dear, of course, if Putin says it, its true. But our trusted intelligence institutions investigating your crimes, of course not. Only a guilty man would behave like you. But the Law will catch up with you. #TrumpCrimesDAILY #Trump",0,49.0,5.0,3.979591836734694,3.254446226559292,0.7755102040816326,0.6326530612244898,0.3673469387755102,0.20408163265306123,0.22448979591836735,0.08163265306122448,0.061224489795918366,0.04081632653061224,0.12244897959183673,1.0,0.3877551020408163,0.08163265306122448,4.8,3.124099870362662,0.04081632653061224,-0.05000000000000001,0.8833333333333333,0.08100686967372894,0.0034857471473515034,0.8994589447975159,0.011388963088393211,0.0013336269184947014,0.0017702082404866815,2.0,2.0,2.0,1.0,0.0,0.0,0.9642454981803894,36.0,0.0,0.0,0.0,3.0,0.9230769230769231,0.0,0.0,0.0,0.07692307692307693
Donald Trump,Muller has only removed one shoe from his ten feet. #Trump is going down.,0,17.0,2.0,3.5294117647058822,1.6491583257501397,0.9411764705882353,0.8823529411764706,0.35294117647058826,0.17647058823529413,0.23529411764705882,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.058823529411764705,1.0,0.47058823529411764,0.11764705882352941,1.3,3.0,0.0,-0.05185185185185185,0.42962962962962964,0.07547895610332489,0.005900255404412746,0.7297122478485107,0.10585048794746399,0.003196427831426263,0.04306402429938316,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Donald Trump,Wait... you're saying the prolific liar and his kids who ripped off their own family charity and the Republican party full of greedy corrupt insider trading that has been enabling him are failing to protect Americans?! #RepublicanEnablers #Trump,0,44.0,2.0,4.7272727272727275,3.0027535572570447,0.9318181818181818,0.8636363636363636,0.38636363636363635,0.18181818181818182,0.2727272727272727,0.20454545454545456,0.06818181818181818,0.0,0.09090909090909091,1.0,0.4318181818181818,0.11363636363636363,19.3,17.0,0.06818181818181818,0.10833333333333332,0.85,0.3544557988643646,0.0030962310265749693,0.6290108561515808,0.0023795966990292072,0.001582264550961554,0.006339363753795624,0.0,1.0,0.0,0.0,0.0,1.0,0.0,38.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Donald Trump,I told you to stop watching Fox. News entertainment is fake by definition. Like your presidency. #Trump,0,21.0,4.0,4.142857142857143,3.29914439536929,0.9047619047619048,0.8571428571428571,0.2857142857142857,0.19047619047619047,0.2857142857142857,0.23809523809523808,0.0,0.0,0.14285714285714285,1.0,0.2857142857142857,0.14285714285714285,5.5,2.384848003542364,0.09523809523809523,-0.5,1.0,0.10607369989156723,0.00356445275247097,0.8762187361717224,0.005638108588755131,0.0013796276180073619,0.0038208365440368652,0.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Donald Trump,"Thats some flat out #bullshit. That is my tax money being used. Hell, I own a small business and I didnt even get my tax money. We better damn well be able to see who is getting it. #corruption #fraud #Trump",0,50.0,5.0,3.34,2.0747047982785407,0.78,0.64,0.36,0.18,0.22,0.22,0.08,0.04,0.12,1.0,0.4807692307692308,0.08,1.8,4.166533331199932,0.06,0.265,0.53,0.5594772696495056,0.00350872497074306,0.42557233572006226,0.0036182794719934464,0.005283629056066275,0.00134087644983083,0.0,1.0,1.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
